,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
132,2019-01-03,7:20 PM,41 °F,36 °F,81 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
133,2019-01-03,7:50 PM,41 °F,36 °F,81 %,NNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
134,2019-01-03,8:20 PM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
135,2019-01-03,8:50 PM,39 °F,36 °F,87 %,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
136,2019-01-03,9:20 PM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
137,2019-01-03,9:50 PM,37 °F,36 °F,93 %,NW,6 mph,0 mph,30.57 in,0.0 in,Partly Cloudy
138,2019-01-03,10:20 PM,37 °F,36 °F,93 %,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
139,2019-01-03,10:50 PM,36 °F,36 °F,100 %,NNW,3 mph,0 mph,30.57 in,0.0 in,Fair
140,2019-01-03,11:20 PM,37 °F,36 °F,93 %,NNW,3 mph,0 mph,30.57 in,0.0 in,Partly Cloudy
141,2019-01-03,11:50 PM,37 °F,36 °F,93 %,NNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
142,2019-01-03,12:20 AM,37 °F,36 °F,93 %,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
143,2019-01-03,12:50 AM,37 °F,36 °F,93 %,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
144,2019-01-04,1:20 AM,37 °F,36 °F,93 %,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
145,2019-01-04,1:50 AM,37 °F,36 °F,93 %,VAR,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
146,2019-01-04,2:20 AM,37 °F,36 °F,93 %,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
147,2019-01-04,2:50 AM,37 °F,36 °F,93 %,W,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
148,2019-01-04,3:20 AM,37 °F,36 °F,93 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
149,2019-01-04,3:50 AM,37 °F,36 °F,93 %,W,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
150,2019-01-04,4:20 AM,36 °F,36 °F,100 %,WNW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
151,2019-01-04,4:50 AM,37 °F,36 °F,93 %,WNW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
152,2019-01-04,5:20 AM,37 °F,36 °F,93 %,W,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
153,2019-01-04,5:50 AM,37 °F,37 °F,100 %,W,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
154,2019-01-04,6:20 AM,37 °F,37 °F,100 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Light Rain Shower
155,2019-01-04,6:50 AM,37 °F,37 °F,100 %,WNW,6 mph,0 mph,30.57 in,0.0 in,Light Rain Shower
156,2019-01-04,7:20 AM,39 °F,37 °F,93 %,W,6 mph,0 mph,30.54 in,0.0 in,Light Rain
157,2019-01-04,7:50 AM,39 °F,37 °F,93 %,WNW,6 mph,0 mph,30.54 in,0.0 in,Light Rain
158,2019-01-04,8:20 AM,39 °F,37 °F,93 %,NW,3 mph,0 mph,30.54 in,0.0 in,Light Rain
159,2019-01-04,8:50 AM,39 °F,37 °F,93 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
160,2019-01-04,9:20 AM,39 °F,37 °F,93 %,WNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
161,2019-01-04,9:50 AM,39 °F,37 °F,93 %,WNW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
162,2019-01-04,10:20 AM,39 °F,37 °F,93 %,WNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
163,2019-01-04,10:50 AM,39 °F,37 °F,93 %,WNW,7 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
164,2019-01-04,11:20 AM,39 °F,37 °F,93 %,NW,7 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
165,2019-01-04,11:50 AM,39 °F,36 °F,87 %,WNW,9 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
166,2019-01-04,12:20 PM,39 °F,34 °F,81 %,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
167,2019-01-04,12:50 PM,41 °F,34 °F,76 %,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
168,2019-01-04,1:20 PM,39 °F,34 °F,81 %,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
169,2019-01-04,1:50 PM,39 °F,34 °F,81 %,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
170,2019-01-04,2:20 PM,39 °F,34 °F,81 %,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
171,2019-01-04,2:50 PM,39 °F,34 °F,81 %,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
172,2019-01-04,3:20 PM,39 °F,34 °F,81 %,WNW,10 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
173,2019-01-04,3:50 PM,39 °F,32 °F,75 %,NW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
174,2019-01-04,4:20 PM,37 °F,32 °F,81 %,WNW,8 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
175,2019-01-04,4:50 PM,37 °F,30 °F,75 %,WNW,9 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
176,2019-01-04,5:20 PM,37 °F,30 °F,75 %,NW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
177,2019-01-04,5:50 PM,37 °F,30 °F,75 %,WNW,7 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
178,2019-01-04,6:20 PM,37 °F,30 °F,75 %,W,8 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
179,2019-01-04,6:50 PM,37 °F,32 °F,81 %,W,9 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
180,2019-01-04,7:20 PM,37 °F,32 °F,81 %,W,7 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
181,2019-01-04,7:50 PM,37 °F,32 °F,81 %,W,9 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
182,2019-01-04,8:20 PM,37 °F,34 °F,87 %,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
183,2019-01-04,8:50 PM,37 °F,34 °F,87 %,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
184,2019-01-04,9:20 PM,37 °F,34 °F,87 %,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
185,2019-01-04,9:50 PM,37 °F,36 °F,93 %,W,10 mph,0 mph,30.48 in,0.0 in,Light Drizzle
186,2019-01-04,10:20 PM,39 °F,36 °F,87 %,W,13 mph,0 mph,30.45 in,0.0 in,Mostly Cloudy
187,2019-01-04,10:50 PM,39 °F,36 °F,87 %,W,10 mph,0 mph,30.45 in,0.0 in,Light Drizzle
188,2019-01-04,11:20 PM,39 °F,36 °F,87 %,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
189,2019-01-04,11:50 PM,39 °F,37 °F,93 %,W,9 mph,0 mph,30.45 in,0.0 in,Mostly Cloudy
190,2019-01-04,12:20 AM,39 °F,37 °F,93 %,W,12 mph,0 mph,30.45 in,0.0 in,Light Drizzle
191,2019-01-04,12:50 AM,39 °F,37 °F,93 %,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
192,2019-01-05,1:20 AM,39 °F,37 °F,93 %,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
193,2019-01-05,1:50 AM,39 °F,37 °F,93 %,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
